"Date","Open","High","Low","Close","Adj Close","Volume"
1577941200,74.059998,75.150002,73.797501,75.087502,73.894325,135480400
1578027600,74.287498,75.144997,74.125,74.357498,73.175919,146322800
1578286800,73.447502,74.989998,73.1875,74.949997,73.759018,118387200
1578373200,74.959999,75.224998,74.370003,74.597504,73.412117,108872000
1578459600,74.290001,76.110001,74.290001,75.797501,74.593056,132079200
1578546000,76.809998,77.607498,76.550003,77.407501,76.17746,170108400
1578632400,77.650002,78.167503,77.0625,77.582497,76.34967,140644800
1578891600,77.910004,79.267502,77.787498,79.239998,77.980843,121532000
1578978000,79.175003,79.392502,78.042503,78.169998,76.927834,161954400
1579064400,77.962502,78.875,77.387497,77.834999,76.59816,121923600
1579150800,78.397499,78.925003,78.022499,78.809998,77.557663,108829200
1579237200,79.067497,79.684998,78.75,79.682503,78.416313,137816400
1579582800,79.297501,79.754997,79,79.142502,77.884888,110843200
1579669200,79.644997,79.997498,79.327499,79.425003,78.162895,101832400
1579755600,79.480003,79.889999,78.912498,79.807503,78.539314,104472000
1579842000,80.0625,80.832497,79.379997,79.577499,78.312965,146537600
1580101200,77.514999,77.942497,76.220001,77.237503,76.010155,161940000
1580187600,78.150002,79.599998,78.047501,79.422501,78.160439,162234000
1580274000,81.112503,81.962502,80.345001,81.084999,79.796516,216229200
1580360400,80.135002,81.022499,79.6875,80.967499,79.680885,126743200
1580446800,80.232498,80.669998,77.072502,77.377502,76.147934,199588400
1580706000,76.074997,78.372498,75.555,77.165001,75.938812,173788400
1580792400,78.827499,79.910004,78.407501,79.712502,78.445839,136616400
1580878800,80.879997,81.190002,79.737503,80.362503,79.085503,118826800
1580965200,80.642502,81.305,80.065002,81.302498,80.010567,105425600
1581051600,80.592499,80.849998,79.5,80.0075,78.922997,117684000
1581310800,78.544998,80.387497,78.462502,80.387497,79.297852,109348800
1581397200,80.900002,80.974998,79.677498,79.902496,78.81942,94323200
1581483600,80.3675,81.805,80.3675,81.800003,80.691216,113730400
1581570000,81.047501,81.555,80.837502,81.217499,80.116615,94747600
1581656400,81.184998,81.495003,80.712502,81.237503,80.136337,80113600
1582002000,78.839996,79.9375,78.652496,79.75,78.668999,152531200
1582088400,80,81.142502,80,80.904999,79.808342,93984000
1582174800,80.657501,81.162498,79.552498,80.074997,78.989586,100566000
1582261200,79.654999,80.112503,77.625,78.262497,77.20166,129554000
1582520400,74.315002,76.044998,72.307503,74.544998,73.534546,222195200
1582606800,75.237503,75.6325,71.532501,72.019997,71.04377,230673600
1582693200,71.6325,74.470001,71.625,73.162498,72.170792,198054800
1582779600,70.275002,71.5,68.239998,68.379997,67.453125,320605600
1582866000,64.315002,69.602501,64.092499,68.339996,67.413658,426510000
1583125200,70.57,75.360001,69.43,74.702499,73.689903,341397200
1583211600,75.917503,76,71.449997,72.330002,71.349579,319475600
1583298000,74.110001,75.849998,73.282501,75.684998,74.659088,219178400
1583384400,73.879997,74.887497,72.852501,73.230003,72.237381,187572800
1583470800,70.5,72.705002,70.307503,72.2575,71.278069,226176800
1583726400,65.9375,69.522499,65.75,66.542503,65.640526,286744800
1583812800,69.285004,71.610001,67.342499,71.334999,70.368065,285290000
1583899200,69.347504,70.305,67.964996,68.857498,67.924133,255598800
1583985600,63.985001,67.5,62,62.057499,61.216324,418474000
1584072000,66.222504,69.980003,63.237499,69.4925,68.550537,370732000
1584331200,60.487499,64.769997,60,60.552502,59.73172,322423600
1584417600,61.877499,64.402496,59.599998,63.215,62.358128,324056000
1584504000,59.942501,62.5,59.279999,61.6675,60.831608,300233600
1584590400,61.8475,63.209999,60.6525,61.195,60.365509,271857200
1584676800,61.794998,62.9575,57,57.310001,56.533169,401693200
1584936000,57.02,57.125,53.1525,56.092499,55.332169,336752800
1585022400,59.09,61.922501,58.575001,61.720001,60.883396,287531200
1585108800,62.6875,64.5625,61.075001,61.380001,60.547997,303602000
1585195200,61.630001,64.669998,61.59,64.610001,63.734219,252087200
1585281600,63.1875,63.967499,61.762501,61.935001,61.095474,204216800
1585540800,62.685001,63.880001,62.349998,63.702499,62.83902,167976400
1585627200,63.900002,65.622498,63,63.572498,62.710781,197002000
1585713600,61.625,62.18,59.782501,60.227501,59.411129,176218400
1585800000,60.084999,61.287498,59.224998,61.232498,60.402496,165934000
1585886400,60.700001,61.424999,59.7425,60.352501,59.534428,129880000
1586145600,62.724998,65.777496,62.345001,65.6175,64.728065,201820400
1586232000,67.699997,67.925003,64.75,64.857498,63.978378,202887200
1586318400,65.684998,66.842499,65.307503,66.517502,65.615868,168895200
1586404800,67.175003,67.517502,66.175003,66.997498,66.089355,161834800
1586750400,67.077499,68.425003,66.457497,68.3125,67.386543,131022800
1586836800,70,72.0625,69.512497,71.762497,70.789764,194994800
1586923200,70.599998,71.582497,70.157501,71.107498,70.143646,131154400
1587009600,71.845001,72.050003,70.587502,71.672501,70.700996,157125200
1587096000,71.172501,71.737503,69.214996,70.699997,69.741676,215250000
1587355200,69.487503,70.419998,69.212502,69.232498,68.294052,130015200
1587441600,69.07,69.3125,66.357498,67.092499,66.183067,180991600
1587528000,68.402496,69.474998,68.050003,69.025002,68.089378,116862400
1587614400,68.967499,70.4375,68.717499,68.7575,67.8255,124814400
1587700800,69.300003,70.752502,69.25,70.7425,69.7836,126161200
1587960000,70.449997,71.135002,69.987503,70.792503,69.832909,117087600
1588046400,71.269997,71.457497,69.550003,69.644997,68.700974,112004800
1588132800,71.182503,72.417503,70.972504,71.932503,70.957466,137280800
1588219200,72.489998,73.6325,72.087502,73.449997,72.454384,183064000
1588305600,71.5625,74.75,71.462502,72.267502,71.28791,240616800
1588564800,72.292503,73.422501,71.580002,73.290001,72.296562,133568000
1588651200,73.764999,75.25,73.614998,74.389999,73.381653,147751200
1588737600,75.114998,75.809998,74.717499,75.157501,74.138748,142333600
1588824000,75.805,76.292503,75.4925,75.934998,74.905693,115215200
1588910400,76.410004,77.587502,76.072502,77.532501,76.688591,133838400
1589169600,77.025002,79.262497,76.809998,78.752502,77.895317,145946400
1589256000,79.457497,79.922501,77.727501,77.852501,77.005119,162301200
1589342400,78.037498,78.987503,75.802498,76.912498,76.075333,200622400
1589428800,76.127502,77.447502,75.3825,77.385002,76.542702,158929200
1589515200,75.087502,76.974998,75.052498,76.927498,76.090172,166348400
1589774400,78.292503,79.125,77.580002,78.739998,77.882942,135178400
