"Date","SOFI","PTON","AAPL","AMD","AMC","FTCH","NVDA","JWN","OXY","F","AMZN","CCL","SWN","BAC","ABEV","T","NIO","VALE","PBR","SNAP","WBD","BBD","PLTR","NOK","INTC","ET","SHOP","NCLH","BABA","GRAB","META","UBER","TLRY","DNA","TSLA","GOLD","ZTO","MSFT","KGC","AAL","GSAT","PLUG","CMCSA","VZ","XOM","ITUB","GGB","PBR-A","CCJ","TWTR","TME","GOOG","PFE","MMM","M","CSCO","BEKE","DKNG","MRO","KMI","GOOGL","RIG","CSX","HPE","TELL","DVN","GM","CPG","JD","LCID","WFC","ENVX","PDD","XPEV","CLF","CS","BTG","AUY","RBLX","C","LUMN","ZM","NLY","CHPT","X","CANO","FCX","SLB","OPEN","APA","SNOW","HAL","MU","JPM","SQ","CDEV","MPW","WMB","CVX","AMCR","LYFT","HBI","WOOF","PYPL","BP","IQ","VICI","CD","ZI","EXC","NEOG","CRM","LYG","TRQ","COTY","NKLA","SE","HBAN","AVLR","MOS","SIRI","KOS","PINS","AFRM","AEO","DIS","NEM","WBA","STNE","PCG","TEVA","VIPS","TSM","DOW","GPS","MDT","KO","SAN","ROKU","RUN","BKR","RCL","COIN","HPQ","CTRA","SHEL","EQT","TAL","COP","MRVL","CVNA","PARA","BMY","LUV","GLW","FNMA","CVE","BILI","KEY","MDLZ","PG","SID","LU","GSK","ELAN","RKLB","LTHM","LAZR","DAL","JBLU","JNJ","NEE","ONEM","GME","KHC","TJX","MRK","BCS","NFLX","TOL","UAL","QS","IBN","MS","WMT","SBSW","AR","IS","URBN","CVS","TCOM","AVTR","QCOM","FMS","UPST"
2019-12-30,NA,30.17,74.7225,48.849998,7.39,11.205,59.4975015,39.995001,43.0950015,9.315,94.324497,50.6,2.32,35.2700005,4.7,29.4259815,3.775,13.37,16.13,16.7650005,32.125,9.24,NA,3.84,60.469999,13.445,40.6049995,58.215,218.385002,NA,209.2249985,31.1800005,16.205,NA,87.3269995,18.53,23.509999,159.619995,4.735,28.37,0.56,3.235,45.1899985,60.7250005,70.615002,7.6999175,5.025,15.165,8.995,31.9099995,12.555,68.2007485,37.035105,179.2249985,16.5250005,48.0249995,NA,10.68,13.715,21.120001,68.254997,6.985,24.346667,15.97,7.33,25.9450005,36.8500005,4.53,37.860001,NA,53.584999,NA,41.0599995,NA,7.83,13.615,3.905,3.895,NA,80.465,12.755,68,9.455,9.8,10.78,NA,13,40.3649995,NA,25.525001,NA,24.72,54.959999,139.714996,63.415001,4.74,20.8600005,23.54,121.220001,10.56,43.3850005,14.49,NA,109.755001,38.4850005,23.005,25.29,NA,NA,32.453638,32.637499,166.5800015,3.32,7.5,11.055,10.31,40.2650015,14.9,78.455002,21.095,7.11,5.815,18.58,NA,14.32,147.3499985,43.0250015,59.080002,42.5,10.71,9.325,14.855,59.050001,53.084999,17.360001,114.2199975,54.8400005,4.255,137.3050005,14.2775,25.625,134.0699995,NA,20.660001,17.2550005,59.9750005,10.35,49.2450005,65.579998,27.0249995,94.8499985,41.7700005,63.0599995,54.594999,29.795,3.305,10.165,21.5150005,20.085,54.285002,122.995003,3.58,NA,47.614191,29.2849995,NA,8.44,10.225,58.550001,18.7299995,145.125,59.8675005,NA,1.52375,31.4250005,61.4700015,87.4475175,9.635,327.854996,40.4300005,88.82,NA,15.075,51.620001,118.4150005,10.08,2.635,NA,27.8900005,73.865002,36.5750005,18.4250005,87.8549995,36.77,NA
2020-01-06,NA,29.1360002,76.067,48.322,6.76,11.01,60.2355002,41.8120004,45.314,9.234,94.8591994,48.7439994,2.216,34.8419998,4.616,29.4697884,3.456,13.11,15.8739996,17.0500006,32.048,8.7,NA,3.988,59.2139998,13.47,42.1060004,57.472,219.576001,NA,215.4480012,33.26,15.602,NA,94.8891982,18.0259996,23.1739998,160.0259978,4.584,27.53,0.552,3.98,45.095999,59.4839994,69.8580016,7.2118714,5.022,14.94,8.934,32.6459998,12.752,70.4143022,37.0151802,179.7639984,17.6779996,47.4520004,NA,11.52,13.532,21.366,70.4671006,6.624,24.3993328,15.652,7.068,25.8799998,35.0740016,4.67,38.5260004,NA,52.7619996,NA,39.9759994,NA,7.816,13.786,3.92,3.776,NA,79.3800004,12.934,72.0960008,9.494,9.894,10.918,NA,12.988,40.1060008,NA,31.1719992,NA,24.4759998,56.6679998,136.9120024,66.1359984,4.734,21.0320004,23.7000002,118.2619994,10.394,44.8160002,14.304,NA,111.4319992,39.1620002,23.7840004,25.1600006,NA,NA,32.773181,32.6099998,177.3160004,3.256,6.78,10.688,10.3344,40.3519998,14.49,82.558,20.9020004,7.06,6.174,19.4599998,NA,14.32,145.2399964,42.5,56.7220008,41.6459998,10.406,9.024,14.944,58.51,52.1639994,17.9220002,116.581999,54.827999,4.14,135.6779966,14.726,25.0560004,132.2800016,NA,20.964,17.308,59.9479996,9.546,52.1220002,65.8780012,26.1159998,89.3119996,41.4360006,64.2900002,54.2059998,29.9900002,3.37,10.162,22.9779994,19.5720004,54.1119996,123.0139998,3.436,NA,47.4225128,28.5739998,NA,8.034,10.324,58.464,18.5619996,144.8980012,60.5334998,NA,1.4035,30.788,62.0239996,85.5629778,9.49,334.1099978,41.0320006,87.4059984,NA,14.838,51.5559996,116.8220004,10.008,2.524,NA,28.064,73.0140018,36.742,18.4759998,88.8720016,36.5819994,NA
2020-01-13,NA,30.3220008,78.7474992,49.2419996,7.026,12.14,62.1519998,40.882,46.714,9.21,93.6542006,50.6519998,1.974,34.8959998,4.502,28.7719032,4.158,13.364,15.154,18.3080004,32.2260006,8.306,NA,4.094,59.4439994,13.542,44.7232012,58.3020014,226.6799988,NA,221.2059998,34.7599996,20.27,NA,104.2107986,17.7900002,23.7420002,164.3720002,4.508,27.826,0.514,4.14,46.4959992,59.418,69.0939988,6.9002474,5.11,14.294,8.928,33.4299998,13.946,72.414,38.191651,180.8859986,17.6520002,48.3679998,NA,12.64,13.252,21.43,72.3950012,6.164,25.1653338,15.49,7.66,26.0240004,35.2860002,4.35,40.058,NA,49.632,NA,38.9959988,NA,7.804,13.918,4.024,3.7,NA,81.1840014,13.39,75.1600008,9.628,9.92,10.618,NA,13.088,38.8479998,NA,32.981999,NA,23.8059998,57.2959998,137.6339996,69.2179994,4.445,21.9160006,23.8660004,116.312001,10.74,46.8920004,14.206,NA,115.2419998,38.7879996,23.8440004,25.852,NA,NA,33.1925826,34.7350004,182.3899994,3.03,6.94,10.998,10.346,40.523999,14.578,85.5240006,21.56,7.14,6.52,21.7680004,NA,14.602,144.5700012,43.2200006,54.3879996,41.430001,12.29,10.114,14.696,59.2200004,52.536,18.2360002,118.054001,56.5180002,4.026,132.2600006,15.896,23.7740002,133.5559998,NA,21.5839996,17.2440002,58.8019996,8.446,55.4919996,65.0819992,27.6979998,87.3739992,40.0700006,66.5340012,54.764,30.05,3.214,9.47,22.732,19.43,54.774,125.6020004,3.518,NA,48.2565262,29.8280004,NA,8.578,10.482,61.2940004,18.806,147.3199982,62.5689992,NA,1.206,31.4500002,62.5060002,86.4751892,9.278,338.994006,43.5479996,88.4539992,NA,14.986,54.5059992,115.6399994,10.198,2.468,NA,26.5079998,74.7860002,38.2200006,18.5080002,91.7800004,37.4479996,NA
2020-01-20,NA,30.80999975,79.48812675,51.134999,6.9225,12.7275,62.586875,39.3949995,43.0875005,9.1275,94.070999,49.38500025,1.72,34.06999975,4.475,29.208837,4.885,13.2025,14.805,19.09999975,31.19249975,8.095,NA,4.0825,63.7675,12.8825,46.62325,57.41000075,219.37749875,NA,220.1150015,37.21,20.715,NA,112.689001,18.445,23.3075005,165.98999775,4.765,27.73999975,0.49,4.05,46.245,60.39749925,66.96500025,6.6591095,5.21,14.0275,8.5875,33.7974995,13.3175,74.0463755,38.2020875,178.32749925,16.99750025,48.92999925,NA,14.225,12.3625,21.3024995,73.96224975,5.41,25.23166725,14.9625,7.4425,24.41,34.772501,3.7975,40.33750025,NA,48.32250025,NA,38.46,NA,7.54,13.555,4.2525,3.9275,NA,79.55500025,14.8375,74.93500125,9.6975,9.92,9.7525,NA,12.1,36.45750025,NA,30.71500025,NA,23.595,58.7749995,135.802494,69.3575,3.98375,22.39,22.57000025,112.789999,10.6625,48.09000025,14.3125,NA,116.630001,38.13250075,23.47249975,26.54500025,NA,NA,34.04422275,34.56750125,183.52750025,3.02,6.75,10.72,10.3475,43.937501,14.3325,83.665001,20.06750025,7.155,6.21,22.44250025,NA,14.565,142.462498,43.87,53.15749925,43.7675,13.4425,10.24,13.965,57.95,50.55249975,17.8949995,120.40999975,57.57250025,3.9425,133.30500025,16.9912505,22.8075,128.727499,NA,21.99249975,15.205,57.3674995,7.2125,49.11500075,63.19999875,27.655,83.32500075,37.490001,66.47250175,54.7425005,29.56749975,3.2675,9.005,22.3700005,19.5600005,55.38500025,125.63249775,3.5825,NA,48.516517,31.66750025,NA,8.9825,10.59,59.765,20.14,148.5925025,65.03687475,NA,1.130625,30.6925,62.09249975,84.484732,9.055,341.71749875,45.495,83.977499,NA,14.64,55.46499925,115.46749875,10.6975,2.035,NA,26.38749975,73.38999925,34.1175,18.88500025,92.290001,39.01000125,NA
2020-01-27,NA,31.7499996,79.2180008,48.6159988,6.656,11.83,60.7974988,38.1679992,40.644001,8.876,94.1898988,45.3099998,1.61,33.082,4.312,28.539275,4.07,11.974,14.336,18.8019996,29.9200004,7.822,NA,3.942,65.9460006,12.724,46.6596002,54.7659994,208.5779998,NA,213.4659974,36.654,18.756,NA,119.8915984,18.3900006,22.1239996,167.7579988,4.956,26.8739998,0.488,3.958,43.7379998,59.788,64.0820002,6.446826,4.766,13.496,8.274,33.1059998,12.874,72.3516006,36.0891838,164.8760012,16.5800002,47.1000006,NA,14.756,11.688,21.2460004,72.259601,4.684,25.536,14.382,7.036,22.348,33.4739996,3.386,38.3760004,NA,47.3179992,NA,36.2880004,NA,7.158,12.954,4.294,3.988,NA,76.4540008,14.076,73.274002,9.72,9.936,9.212,NA,11.182,33.8399994,NA,28.2580002,NA,21.8239998,55.0599998,133.7879976,74.560002,3.332,22.458,21.2740002,110.0840012,10.786,47.5360002,14.128,NA,115.8860002,37.0359994,22.3400002,26.6079998,NA,NA,34.0171196,34.1149992,182.6620026,2.976,6.36,10.344,10.3446,45.0699996,13.578,84.534001,19.4459996,7.118,5.596,22.1720006,NA,14.656,137.2899966,44.7020002,52.0179994,43.169999,14.832,10.278,13.06,55.855999,47.7099998,17.8920004,118.074002,57.7519998,3.948,127.2580002,16.9500002,21.8879998,119.1520004,NA,21.5,14.37,54.746,6.32,49.1120004,60.6060004,25.2260002,82.1039992,34.7000002,63.882,56.3099998,27.8580002,3.214,8.864,21.9799994,18.9199996,56.0559996,125.4699998,3.13,NA,47.7671278,31.4119994,NA,9.094,10.592,56.7600008,20.0560006,149.6039978,66.822,22.07,1.0195,29.8480004,60.572,82.353055,8.894,345.4779968,45.196,76.4880004,NA,14.738,53.3779998,115.8839996,10.164,1.82,NA,26.2799998,70.1740006,32.5100008,18.5079998,87.504001,39.0679994,NA
2020-02-03,NA,31.2800004,79.7100008,49.2720002,6.68,12.176,62.2029998,38.8379996,41.3419998,8.566,102.2324982,43.286,1.658,34.1159996,4.016,28.5936556,4.17,12.202,14.442,17.506,29.8719998,7.792,NA,4.088,66.0659972,12.79,47.6415998,54.3919998,218.726001,NA,209.4620026,38.1300002,17.5400002,NA,155.951602,18.1720004,23.1219996,180.3839996,4.988,28.2739996,0.494,4.114,44.1739998,58.9699998,61.3560006,6.397362,4.898,13.438,8.598,35.1719994,13.426,73.3669998,35.9924096,159.8260008,16.746,47.8519998,NA,14.288,11.8,21.1100002,73.2913986,4.848,25.9486668,14.622,7.368,22.5099998,34.2160004,3.23,39.9720002,NA,47.7019996,NA,35.736,NA,7.578,12.872,4.19,3.932,NA,77.6279996,14.2,87.2680008,9.91,9.938,9.228,NA,12.002,34.305999,NA,28.33,NA,21.9619998,56.322,136.2059966,79.2640016,3.058,22.798,21.3500002,108.3679992,10.88,48.6719992,14.098,NA,119.0160002,36.5299996,24.238,27.0220002,NA,NA,34.389444,34.547,186.3399992,2.942,6.62,11.5,10.362,46.1840004,13.922,89.3940002,20.6520002,7.17,5.33,22.986,NA,14.538,142.2279998,44.5059996,52.600001,42.6179992,17.0199998,11.918,13.44,56.8859998,48.3260004,18.054,119.7699998,58.8900002,4.082,126.976001,18.5720002,21.87,116.186,NA,21.6399998,14.57,51.954001,5.672,55.29,58.1700006,24.9159998,89.4440004,34.0599998,65.3619994,56.5660002,27.7260002,3.308,8.912,24.2420002,19.5100002,57.995999,126.1600008,3.034,NA,46.2907838,31.5319994,NA,10.428,10.5942,57.7919996,20.2300004,152.2360014,66.7964996,24.484,1.0075,29.2540002,61.3880006,82.4980928,8.952,366.0800048,46.322,79.1260008,NA,14.858,54.3299994,115.8219974,10.1,1.778,NA,26.366,69.5499984,33.6619994,18.642,88.8700012,39.4439996,NA
2020-02-10,NA,28.42,80.9089996,53.9579992,6.938,12.452,68.1985016,39.1580012,41.5599998,8.15,107.2945008,42.918,1.564,34.827999,3.778,28.8685804,3.94,11.888,14.682,17.552,30.1859996,7.73,NA,4.35,67.1940002,12.584,51.5976008,52.718,219.456003,NA,211.6659974,40.4559996,16.5439998,NA,156.6791994,18.786,24.0920002,185.3820038,5.036,29.6780002,0.458,4.43,45.5260002,58.8640002,60.668,6.5358614,4.786,13.612,9.216,36.4940004,13.638,75.7114,35.4990516,161.4339968,16.6000002,48.4440002,NA,17.286,11.262,21.7059998,75.6947006,4.566,26.4213334,14.762,6.82,22.9240002,34.9599998,3.166,41.299999,NA,47.9780006,NA,36.3699996,NA,7.558,13.504,4.178,3.96,NA,78.9380004,14.536,89.487999,10.152,10.08,9.012,NA,12.418,34.5559988,NA,27.98,NA,21.9580004,58.3360008,137.8160034,80.5799988,2.728,23.6380002,21.522,110.9560014,10.524,49.5679994,14.34,NA,120.1919984,36.4179992,26.56,27.778,NA,NA,35.1269606,35.9710006,189.2559998,2.948,6.54,11.736,10.378,46.9740006,14.048,91.8119994,19.7079998,7.202,5.332,23.8040006,NA,14.68,141.1779968,44.1219992,53.4599998,40.9719994,17.1520006,12.584,14.274,58.5660004,48.6580002,18.0439994,117.7959992,59.6620004,4.196,135.3600006,20.8219992,22.1019998,113.354001,NA,22.24,14.848,51.5020014,5.244,58.6339998,58.755999,25.094,87.5820024,34.8860002,66.6720002,58.068,28.35,3.504,9,27.198,19.6759998,59.1,124.9759994,2.896,NA,45.0203918,31.3400004,NA,10.628,10.593,58.7740006,20.8979996,151.0320006,68.406999,23.4000002,1.014,28.8780002,62.8280008,79.919847,9.152,377.3140014,48.3960008,80.5479996,NA,15.154,55.8159994,116.3660002,10.51,1.712,NA,27.6999996,72.8440002,33.5739998,17.5420002,89.9899992,40.124,NA
2020-02-17,NA,26.6625,79.74812325,56.585,7.3925,12.4825,75.8775025,40.522501,42.28999975,7.995,107.1870005,42.61249925,1.68,34.55,3.665,29.05211525,4.055,11.835,14.47,16.9975005,29.9924995,7.3275,NA,4.1925,65.75999825,12.515,53.39649975,49.7974995,218.322498,NA,215.01250075,40.7174995,18.55500025,NA,178.811497,20.94750025,24.7724995,184.37999725,5.61,28.32249975,0.4425,5.4125,45.99000075,58.1050005,59.80250075,6.339654,4.5525,13.5875,9.1475,38.54750025,12.7575,75.62025075,34.18406025,158.427498,16.3075,46.5074995,NA,17.46500025,10.2825,22.13749975,75.5595,4.2975,26.64083325,14.375,6.69,21.9999995,34.81750025,3.2125,41.79249975,NA,47.28000075,NA,36.115,NA,7.3375,13.6925,4.565,4.47,NA,77.572502,13.315,101.8425005,10.4325,10.0825,9.18,NA,12.035,33.790001,NA,28.39,NA,21.83750075,58.432501,136.60750175,84.21249775,2.9175,24.05499925,21.6524995,109.949999,10.225,45.3775005,14.5025,NA,122.02499975,35.92000025,24.79249925,27.90749925,NA,NA,35.58309575,36.13875,191.704998,2.87,6.05,11.4225,10.395,51.34749975,13.9975,89.7350005,18.58,7.2675,5.18,23.09500025,NA,14.4775,139.9449995,47.32249925,51.81250025,43.33500025,17.3425,13.0675,13.705,56.47249975,48.09,17.2774995,113.39250025,59.78750025,4.1275,124.29249975,22.40000025,20.7275,109.5825025,NA,22.5025,15.285,49.80499925,5.8525,58.82250025,58.71999925,24.88999975,104.99749775,32.07999925,65.6449985,57.04499925,28.0449995,3.46,9.05,27.4174995,19.74499975,59.1875,125.897501,2.9975,NA,44.0660695,30.44000025,NA,11.12,10.59,58.36999975,20.88749975,149.09499725,69.458126,24.13250025,1.024375,27.32999975,63.6125,78.552004,9.1875,385.010002,47.594999,79.3950005,NA,15.11,54.49999975,118.39500025,12.54,1.78,NA,28.12,71.80750075,33.8375005,17.77,88.77249925,40.95499975,NA
2020-02-24,NA,27.6420004,71.2894972,46.7339998,6.376,10.316,66.2824998,36.3780006,34.8880002,7.188,97.2966994,34.4099992,1.436,30.4139996,3.444,27.7114802,4.178,10.158,12.526,15.308,26.5139998,6.834,NA,3.982,58.4980004,11.076,46.6056008,38.0200004,206.7080018,NA,195.3820006,34.9940002,15.7440002,NA,150.3795992,20.6380006,23.688,165.8639984,5.552,22.106,0.434,4.632,42.2939992,56.2940002,52.9659998,5.8367682,3.914,11.72,8.6,34.3879996,12.288,68.6063996,32.4174572,149.552005,13.954,41.7740006,NA,16.5239996,8.6,20.4059998,68.5084994,3.428,24.7773336,13.09,4.306,17.118,31.6099998,2.79,39.0079994,NA,43.7939992,NA,34.2859992,NA,6.218,12.052,4.446,4.276,NA,67.609999,12.502,107.5040008,9.558,9.972,8.338,NA,10.438,28.5159998,NA,25.334,NA,18.3179996,52.5239996,124.5080018,79.2979996,2.352,22.6019998,19.3639996,98.1859984,9.628,40.0199998,13.254,NA,110.2080002,32.4980006,23.854,25.9379996,NA,NA,33.059914,33.0189998,177.7259978,2.602,5.48,10.016,10.4014,46.2900002,12.73,84.636,17.7080002,6.722,3.454,20.5259994,NA,13.24,124.0500002,47.9919998,47.241999,41.2179992,16.6739998,12.54,12.72,54.028,42.6400002,14.9760002,105.536,56.4980004,3.734,114.4139984,20.6899996,17.7240002,85.1820008,NA,22.1659998,14.35,45.3799998,5.376,56.004,51.386,21.9639996,96.8759996,25.0460004,61.3580008,49.0980006,25.1720002,2.954,7.894,26.7039996,17.55,55.7760002,118.324002,2.604,NA,42.2960846,28.7119998,NA,9.334,10.5624,49.8059998,17.36,141.5679964,66.1174998,22.5960004,0.886,25.6159994,61.0760002,75.6068708,8.218,369.7539976,40.8259996,67.8200004,NA,14.242,47.078,112.514,9.658,1.562,NA,25.1860004,62.6820008,30.4060002,16.2580002,79.488002,38.9059996,NA
2020-03-02,NA,26.7869998,73.6410004,48.2040002,5.438,11.312,68.3080016,31.83,31.4420008,6.896,96.6388992,30.4740002,1.33,27.6,3.326,28.07704,3.862,10.14,11.848,13.684,25.9640002,6.544,NA,3.762,57.112,11.276,48.9572,31.5799998,209.2900026,NA,188.069998,32.8619994,12.42,NA,146.6660004,20.6840002,25.6379996,167.1380004,5.526,17.4500006,0.416,4.5,41.5199996,57.0339998,51.0799996,5.6224236,3.78,11.184,8.652,35.036,12.302,67.3447006,33.4079696,151.4600006,12.274,40.3699996,NA,17.3060004,7.832,19.8700002,67.1614016,3.068,23.2579998,12.304,1.49,15.5359998,30.4520004,2.522,43.0899994,NA,40.0360002,NA,36.4939994,NA,5.566,10.888,4.322,4.2,NA,64.9599998,12.44,117.340001,9.384,9.976,7.75,NA,10.088,26.272,NA,24.136,NA,15.2739998,53.3740004,116.0759994,77.6359984,1.888,22.8740002,18.802,96.4039992,9.572,37.4500006,12.584,NA,112.198001,32.2279994,23.2020004,24.8299996,NA,NA,32.4878748,31.2630002,171.1,2.406,5.18,8.974,12.998,50.4840002,12.214,81.5239988,16.4500002,6.552,2.51,19.3060002,NA,12.464,116.972,50.3980004,48.4419992,42.8419998,14.868,11.108,14.294,55.7480006,40.5919996,13.736,101.1699998,56.5799994,3.536,108.2720002,20.2389994,16.8040002,73.7800004,NA,21.4320004,15.1140002,43.9379998,6.216,57.7980012,47.9620004,22.9739996,77.0860002,22.7079998,60.3660004,46.014,24.6259996,2.784,6.816,27.162,16.1439998,56.1839996,121.1039994,2.57,NA,43.264682,26.7659998,NA,8.872,10.6,46.5479994,14.772,140.625998,68.1850006,21.904,0.9555,26.1400004,60.6400002,77.719464,7.092,375.0719972,38.5840012,56.5419996,NA,13.514,44.1100008,115.7419998,9.12,1.372,NA,21.2699998,64.2240008,30.1120004,15.7399998,79.5119996,39.3619994,NA
